          楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
STYX HELIX（Digi-Rock Remix）,MAXIMUM,17,EXCESSIVE COMPLETE,S,9980000,0,4,4,0,0
Valanga(polysha Remix),MAXIMUM,18,ULTIMATE CHAIN,S,9997124,6096,25,20,4,0
Vividly Impromptu,MAXIMUM,18,ULTIMATE CHAIN,S,9989112,6308,1,1,1,0
ULTRA B+K,MAXIMUM,17,EXCESSIVE COMPLETE,S,9984825,0,7,6,0,0
MilK,MAXIMUM,17,EXCESSIVE COMPLETE,S,9968971,5629,4,4,0,0
ランカーキラーガール,MAXIMUM,18,EXCESSIVE COMPLETE,S,9977656,0,7,6,0,0
Call of the World,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9850717,0,1,1,0,0
Turn the story,MAXIMUM,18,EXCESSIVE COMPLETE,S,9944174,0,7,7,0,0
Jacob’s Elevator,MAXIMUM,18,EXCESSIVE COMPLETE,S,9977523,0,7,7,0,0
Übertreffen,MAXIMUM,18,PLAYED,B,8425026,5832,1,0,0,0
ЯegreT of MemoRy,MAXIMUM,17,EXCESSIVE COMPLETE,S,9942711,0,1,1,0,0
OZONE,GRAVITY,18,EXCESSIVE COMPLETE,S,9907166,7383,1,1,0,0
Believe In Yourself,GRAVITY,18,EXCESSIVE COMPLETE,AAA+,9830432,5382,2,2,0,0
OUTERHEΛVEN,MAXIMUM,19,EXCESSIVE COMPLETE,S,9934497,7837,18,14,0,0
* Erm， could it be a Spatiotemporal ShockWAVE Syndrome...?,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9807058,0,4,1,0,0
* Erm， could it be a Spatiotemporal ShockWAVE Syndrome...?,MAXIMUM,20,EXCESSIVE COMPLETE,AAA+,9887591,7590,44,40,0,0
θコトノハθカプセルθ,MAXIMUM,19,EXCESSIVE COMPLETE,S,9912137,8290,3,2,0,0
Teufel,MAXIMUM,18,PLAYED,S,9927371,0,1,0,0,0
Butterfly Twist,EXHAUST,15,ULTIMATE CHAIN,S,9992119,0,2,2,1,0
Butterfly Twist,MAXIMUM,18,EXCESSIVE COMPLETE,S,9979166,5938,9,8,0,0
Pulsar,MAXIMUM,18,PLAYED,AAA+,9860742,0,1,0,0,0
pique,MAXIMUM,18,PLAYED,AAA+,9869739,0,1,0,0,0
PARTY TIME!,MAXIMUM,18,ULTIMATE CHAIN,S,9983202,6496,9,8,1,0
AXION,MAXIMUM,17,ULTIMATE CHAIN,S,9996358,0,4,4,1,0
Nhelv,MAXIMUM,18,EXCESSIVE COMPLETE,S,9966887,0,5,5,0,0
最小三倍完全数,MAXIMUM,18,COMPLETE,AAA+,9880341,0,1,1,0,0
Trill auf G,MAXIMUM,19,EXCESSIVE COMPLETE,AAA+,9885938,0,3,3,0,0
voltississimo,MAXIMUM,19,EXCESSIVE COMPLETE,S,9925314,0,8,8,0,0
Typhoon Craaash!!,EXHAUST,15,PERFECT,S,10000000,0,1,1,0,1
Typhoon Craaash!!,GRAVITY,18,COMPLETE,AAA+,9869960,0,1,1,0,0
太陽曰く燃えよカオス（Sol oscuro ¡Nya! Mix）,MAXIMUM,17,EXCESSIVE COMPLETE,S,9902857,0,1,1,0,0
ロキ,MAXIMUM,17,PERFECT,S,10000000,0,7,7,1,1
ΣgØ,EXHAUST,18,EXCESSIVE COMPLETE,S,9934188,0,2,2,0,0
ΣgØ,MAXIMUM,20,EXCESSIVE COMPLETE,S,9931796,9517,13,12,0,0
ΩVERFLOW,MAXIMUM,18,PLAYED,S,9917463,0,1,0,0,0
Quark,MAXIMUM,17,ULTIMATE CHAIN,S,9994887,6238,12,12,1,0
Ghost Family Living In Graveyard,EXHAUST,17,EXCESSIVE COMPLETE,S,9936224,0,4,2,0,0
Ghost Family Living In Graveyard,MAXIMUM,19,COMPLETE,AAA,9758064,0,3,2,0,0
Sudden Visitor,MAXIMUM,18,PERFECT,S,10000000,0,9,8,2,1
Black Lotus,MAXIMUM,18,EXCESSIVE COMPLETE,S,9966887,0,5,5,0,0
petits fours,MAXIMUM,18,EXCESSIVE COMPLETE,S,9977497,0,2,1,0,0
星の透る夏空に願う,MAXIMUM,18,PLAYED,S,9908637,0,1,0,0,0
MARENOL,MAXIMUM,17,ULTIMATE CHAIN,S,9997685,0,10,10,2,0
Lancelot ～Flame of the Rebellion～,MAXIMUM,19,EXCESSIVE COMPLETE,AAA,9728666,0,4,2,0,0
Dogeza Stairs,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9804992,0,1,1,0,0
eighth-slave,MAXIMUM,18,ULTIMATE CHAIN,S,9995545,7346,18,14,5,0
Cynical Joker,MAXIMUM,18,PERFECT,S,10000000,0,17,17,3,1
PIZZATIME,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9813762,0,2,2,0,0
mqlo,MAXIMUM,18,EXCESSIVE COMPLETE,S,9904744,0,3,3,0,0
エンゲージ〆ント,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9877450,0,1,1,0,0
Sunflower Vibes,MAXIMUM,17,EXCESSIVE COMPLETE,S,9936734,0,2,2,0,0
V Sen5eS,MAXIMUM,18,EXCESSIVE COMPLETE,S,9947873,6765,2,2,0,0
rE:Voltagers,GRAVITY,18,EXCESSIVE COMPLETE,S,9935344,6122,1,1,0,0
empty,MAXIMUM,17,EXCESSIVE COMPLETE,S,9972958,0,1,1,0,0
JǛPITΨR ♃ GЯÃVITÝ,MAXIMUM,18,EXCESSIVE COMPLETE,S,9951690,0,4,4,0,0
ストリーミングハート,MAXIMUM,17,EXCESSIVE COMPLETE,S,9951411,0,1,1,0,0
FIRST：DREAMS,MAXIMUM,18,ULTIMATE CHAIN,S,9986876,0,10,10,1,0
妄想税,MAXIMUM,16,PERFECT,S,10000000,0,9,9,2,1
弱虫モンブラン,MAXIMUM,16,EXCESSIVE COMPLETE,S,9946507,0,2,2,0,0
Into The Madness,MAXIMUM,17,EXCESSIVE COMPLETE,S,9918576,0,5,5,0,0
Cloud Crasher,EXHAUST,16,EXCESSIVE COMPLETE,S,9933679,0,1,1,0,0
Cloud Crasher,GRAVITY,18,EXCESSIVE COMPLETE,S,9938183,6476,3,3,0,0
Circulator,MAXIMUM,17,EXCESSIVE COMPLETE,S,9934306,0,6,6,0,0
Barbless Ego,EXHAUST,15,PLAYED,S,9982471,0,1,0,0,0
Barbless Ego,GRAVITY,18,EXCESSIVE COMPLETE,S,9913526,0,3,3,0,0
To:BrandNewDeadline,MAXIMUM,18,EXCESSIVE COMPLETE,S,9961518,0,2,2,0,0
悪戯センセーション,MAXIMUM,17,EXCESSIVE COMPLETE,S,9990701,0,7,7,0,0
