          楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Ops:Code-Rapture-,EXHAUST,18,ULTIMATE CHAIN,S,9985625,0,27,27,1,0
Cold Inflation,EXHAUST,16,EXCESSIVE COMPLETE,S,9988200,5319,4,4,0,0
UnivEarth,EXHAUST,18,EXCESSIVE COMPLETE,S,9910224,0,15,15,0,0
Le Fruit Défendu,EXHAUST,16,ULTIMATE CHAIN,S,9994425,0,3,2,2,0
TOXIC VIBRATION,EXHAUST,17,ULTIMATE CHAIN,S,9967965,0,7,7,1,0
ΕΛΠΙΣ,EXHAUST,17,EXCESSIVE COMPLETE,S,9937804,0,14,14,0,0
灼熱Beach Side Bunny,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9856382,4854,43,42,0,0
リカーシブ・ファンクション,EXHAUST,15,ULTIMATE CHAIN,S,9987644,0,2,2,1,0
Opium and Purple haze,EXHAUST,17,EXCESSIVE COMPLETE,S,9908952,0,14,14,0,0
Opium and Purple haze,GRAVITY,18,EXCESSIVE COMPLETE,S,9989720,5380,31,31,0,0
シャ ビ ドゥ 素敵な恋の魔法,EXHAUST,15,ULTIMATE CHAIN,S,9983574,0,4,3,2,0
ネメシス SDVX Edit,EXHAUST,17,ULTIMATE CHAIN,S,9973404,0,19,19,1,0
BOUNCE BOUNCE BOUNCE,EXHAUST,13,PERFECT,S,10000000,0,1,1,0,1
Sounds Of Summer,EXHAUST,16,ULTIMATE CHAIN,S,9991314,0,12,12,1,0
Innocent Floor,EXHAUST,17,ULTIMATE CHAIN,S,9992428,6162,22,21,2,0
In The Breeze,EXHAUST,16,ULTIMATE CHAIN,S,9973661,0,6,6,3,0
INF-B《L-aste-R》,EXHAUST,18,EXCESSIVE COMPLETE,S,9972431,0,34,33,0,0
Twin Blaster,EXHAUST,16,ULTIMATE CHAIN,S,9991186,0,4,4,1,0
disco KAWAii,EXHAUST,14,PERFECT,S,10000000,0,1,1,0,1
New Days,EXHAUST,15,EXCESSIVE COMPLETE,S,9967558,0,2,2,0,0
Princessどうかお願い!!,EXHAUST,15,EXCESSIVE COMPLETE,S,9949012,0,3,3,0,0
あれこれそれどれ,EXHAUST,17,EXCESSIVE COMPLETE,S,9970223,0,10,10,0,0
感情の魔天楼 ～ Arr.Demetori,EXHAUST,17,ULTIMATE CHAIN,S,9982638,0,9,9,2,0
Crazy ∞ nighT,EXHAUST,15,PERFECT,S,10000000,0,21,21,3,1
ロンロンへ　ライライライ！,EXHAUST,16,ULTIMATE CHAIN,S,9996913,0,14,14,3,0
ロンロンへ　ライライライ！,GRAVITY,17,ULTIMATE CHAIN,S,9985276,0,15,15,2,0
gigadelic (かめりあ's "The TERA" RMX),EXHAUST,18,EXCESSIVE COMPLETE,S,9923819,0,22,20,0,0
Monkey Business(Band Edit.),EXHAUST,16,COMPLETE,S,9915254,0,5,5,0,0
Wuv U(pico/ustic rmx),EXHAUST,16,EXCESSIVE COMPLETE,S,9986928,0,2,2,0,0
無双,EXHAUST,17,PERFECT,S,10000000,0,17,17,2,1
好きトキメキとキス,EXHAUST,15,PLAYED,S,9930394,0,1,0,0,0
Pon-Pon-Pompoko Dai-Sen-Saw!,EXHAUST,18,EXCESSIVE COMPLETE,S,9928126,6148,24,23,0,0
One & Only,EXHAUST,16,ULTIMATE CHAIN,S,9996402,0,15,15,5,0
EBONY & IVORY,EXHAUST,17,ULTIMATE CHAIN,S,9963316,0,6,6,1,0
パ→ピ→プ→Yeah!,EXHAUST,17,EXCESSIVE COMPLETE,S,9971526,5306,12,12,0,0
ELECT,EXHAUST,15,ULTIMATE CHAIN,S,9980494,0,1,1,1,0
Happy Sensation,EXHAUST,17,PERFECT,S,10000000,0,12,12,1,1
Milkyway - memorable -,EXHAUST,16,PERFECT,S,10000000,0,3,3,0,1
Our Faith (takdrive remix),EXHAUST,16,EXCESSIVE COMPLETE,S,9976240,0,1,1,0,0
ON FIRE,EXHAUST,15,EXCESSIVE COMPLETE,S,9961267,0,1,1,0,0
Discloze,EXHAUST,17,ULTIMATE CHAIN,S,9992389,0,19,19,3,0
Virtual Sunrise (nana's Festival EDM Remix) feat. Kanae Asaba,EXHAUST,12,PERFECT,S,10000000,0,3,3,1,1
Monkey Business -Satire mix-,EXHAUST,16,PERFECT,S,10000000,0,20,20,6,1
量子の海のリントヴルム,EXHAUST,17,ULTIMATE CHAIN,S,9989417,6305,19,18,2,0
妖隠し -あやかしかくし-,EXHAUST,16,PERFECT,S,10000000,0,12,12,6,1
千年ノ理,EXHAUST,14,ULTIMATE CHAIN,S,9992609,0,3,3,1,0
竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),EXHAUST,16,PERFECT,S,10000000,0,9,9,0,1
ほおずき程度には赤い頭髪,EXHAUST,17,EXCESSIVE COMPLETE,S,9979242,0,16,15,0,0
Scarlet Moon,EXHAUST,16,EXCESSIVE COMPLETE,S,9968000,0,2,2,0,0
Struggle,EXHAUST,13,EXCESSIVE COMPLETE,S,9934965,0,1,1,0,0
取り残された美術(Arranged:HiZuMi),EXHAUST,13,EXCESSIVE COMPLETE,S,9938524,0,1,1,0,0
NEON WORLD,EXHAUST,17,ULTIMATE CHAIN,S,9992596,0,18,18,4,0
HAVOX,EXHAUST,18,EXCESSIVE COMPLETE,S,9964387,8354,53,48,0,0
BEAT-NEW-WORLD,EXHAUST,17,ULTIMATE CHAIN,S,9990319,0,26,26,2,0
プレインエイジア -PHQ remix-,EXHAUST,16,EXCESSIVE COMPLETE,S,9981378,0,1,1,0,0
ホメ猫☆センセーション,EXHAUST,16,PERFECT,S,10000000,0,10,10,3,1
Russian Caravan Rhapsody,EXHAUST,15,EXCESSIVE COMPLETE,S,9903489,0,1,1,0,0
朝色の紙飛行機,EXHAUST,15,PERFECT,S,10000000,0,4,2,0,1
AYAKASHI,NOVICE,5,PERFECT,S,10000000,0,1,1,0,1
AYAKASHI,EXHAUST,17,PERFECT,S,10000000,0,15,14,0,1
Poison Blood,EXHAUST,15,PERFECT,S,10000000,5196,9,9,3,2
M.A.Y.U.,EXHAUST,16,ULTIMATE CHAIN,S,9996580,0,7,7,2,0
Everlasting Message,EXHAUST,17,EXCESSIVE COMPLETE,S,9964319,0,19,19,0,0
Everlasting Message,GRAVITY,19,EXCESSIVE COMPLETE,S,9938934,0,87,75,0,0
混乱少女♥そふらんちゃん!!,EXHAUST,18,EXCESSIVE COMPLETE,S,9926650,0,23,23,0,0
Sayonara Planet Wars,EXHAUST,18,ULTIMATE CHAIN,S,9980620,8025,34,33,1,0
Chant du Cygne,EXHAUST,17,EXCESSIVE COMPLETE,S,9981403,0,15,14,0,0
到達してしまった僕らと夢と希望の最之果,EXHAUST,18,EXCESSIVE COMPLETE,S,9974266,0,26,22,0,0
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,EXHAUST,17,EXCESSIVE COMPLETE,S,9974358,7318,16,16,0,0
KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,GRAVITY,18,EXCESSIVE COMPLETE,S,9973315,0,36,31,0,0
Just Be Friends,EXHAUST,12,PERFECT,S,10000000,0,3,3,0,2
Scream out! (SDVX EDIT),EXHAUST,16,ULTIMATE CHAIN,S,9996982,0,3,3,2,0
tricky trick,EXHAUST,18,ULTIMATE CHAIN,S,9978565,7569,17,15,2,0
Paranoia,EXHAUST,16,PERFECT,S,10000000,0,10,10,3,3
FIRE FIREは電気スウィングの夢を見るか？,EXHAUST,16,EXCESSIVE COMPLETE,S,9975177,0,13,13,0,0
Borealis,EXHAUST,17,ULTIMATE CHAIN,S,9981968,0,8,8,3,0
無気力クーデター,EXHAUST,17,PERFECT,S,10000000,0,15,15,1,1
Wuv U (Colorful QT3 nekomix),EXHAUST,16,PERFECT,S,10000000,0,5,5,0,1
Invitation from Mr.C,EXHAUST,18,ULTIMATE CHAIN,S,9984326,6670,38,38,1,0
2 MINUTES FIGHTERS,EXHAUST,17,ULTIMATE CHAIN,S,9992240,0,32,32,2,0
LegenD.,EXHAUST,18,EXCESSIVE COMPLETE,S,9986553,7327,42,39,0,0
World's end,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9884410,0,46,46,0,0
キモチコネクト,EXHAUST,16,PERFECT,S,10000000,0,8,8,1,1
キモチコネクト,GRAVITY,17,ULTIMATE CHAIN,S,9987456,0,17,17,1,0
瞬間ドリップ♪秘蜜のケーキセット,EXHAUST,16,EXCESSIVE COMPLETE,S,9912280,0,1,1,0,0
macaron,EXHAUST,15,PERFECT,S,10000000,0,12,12,1,1
CRITICAL LINE,EXHAUST,17,EXCESSIVE COMPLETE,S,9963592,0,19,18,0,0
鬼天,EXHAUST,17,EXCESSIVE COMPLETE,S,9969987,0,16,16,0,0
Go↓Go↑Girls&Boys!,EXHAUST,15,ULTIMATE CHAIN,S,9993412,0,7,7,1,0
INDEPENDENT SKY,EXHAUST,13,EXCESSIVE COMPLETE,S,9960835,0,1,1,0,0
INDEPENDENT SKY,GRAVITY,17,PERFECT,S,10000000,0,30,26,3,1
TIEFSEE,EXHAUST,17,ULTIMATE CHAIN,S,9985199,0,12,12,1,0
ツーマンライブ,EXHAUST,16,PERFECT,S,10000000,0,8,8,2,1
ツーマンライブ,GRAVITY,16,EXCESSIVE COMPLETE,S,9963406,0,1,1,0,0
囲い無き世は一期の月影,EXHAUST,16,PERFECT,S,10000000,0,5,5,1,1
The Sampling Paradise (P*Light Remix),EXHAUST,17,EXCESSIVE COMPLETE,S,9977692,4864,22,22,0,0
Pure Evil (Kobaryo FTN-Remix),EXHAUST,17,ULTIMATE CHAIN,S,9923594,0,30,28,1,0
鬼KYOKAN,EXHAUST,16,EXCESSIVE COMPLETE,S,9914611,0,1,1,0,0
幸せになれる隠しコマンドがあるらしい,EXHAUST,16,ULTIMATE CHAIN,S,9994206,0,22,21,1,0
Scarlet Pinheel,EXHAUST,16,ULTIMATE CHAIN,S,9976958,0,21,20,5,0
False Cross,EXHAUST,17,EXCESSIVE COMPLETE,S,9946524,0,17,15,0,0
Prelude-Hereafter-,EXHAUST,15,EXCESSIVE COMPLETE,S,9952465,0,2,2,0,0
感情Xerography,EXHAUST,14,ULTIMATE CHAIN,S,9995004,0,1,1,1,0
きらきらタイム☆,EXHAUST,17,ULTIMATE CHAIN,S,9991568,0,24,23,3,0
Twin Rocket,EXHAUST,17,EXCESSIVE COMPLETE,S,9990601,0,25,24,0,0
TU-MA-MI△ALL-NIGHTER,EXHAUST,16,ULTIMATE CHAIN,S,9988372,0,25,24,1,0
Hustle Beat!!,EXHAUST,15,ULTIMATE CHAIN,S,9979935,0,1,1,1,0
THUNDERCRACK,EXHAUST,17,EXCESSIVE COMPLETE,S,9988276,0,39,38,0,0
メイガスナイト ～ Arr.Demetori,EXHAUST,16,EXCESSIVE COMPLETE,S,9944115,0,1,1,0,0
Liminality,EXHAUST,16,EXCESSIVE COMPLETE,S,9921991,0,2,2,0,0
ポメグラネイト,EXHAUST,16,EXCESSIVE COMPLETE,S,9952450,0,3,3,0,0
ポメグラネイト,GRAVITY,17,PERFECT,S,10000000,0,10,10,1,1
イグジスタンス,EXHAUST,17,EXCESSIVE COMPLETE,S,9976025,0,33,31,0,0
F.K.S.,EXHAUST,17,EXCESSIVE COMPLETE,S,9976958,0,30,30,0,0
木彫り鯰と右肩ゾンビ,EXHAUST,13,ULTIMATE CHAIN,S,9995579,0,11,11,2,0
gigadelic(m3rkAb4# R3m!x),EXHAUST,17,EXCESSIVE COMPLETE,S,9971751,0,20,19,0,0
鎖の少女,EXHAUST,15,PERFECT,S,10000000,0,8,8,4,1
最速最高シャッターガール,EXHAUST,16,EXCESSIVE COMPLETE,S,9978070,0,9,9,0,0
The Wind of Gold -HΔPPY MIX-,EXHAUST,15,EXCESSIVE COMPLETE,S,9983844,0,3,2,0,0
しゅわスパ大作戦☆ - SDVX Edit. -,EXHAUST,13,PERFECT,S,10000000,0,1,1,0,1
SkyDrive!,EXHAUST,15,EXCESSIVE COMPLETE,S,9985683,0,5,5,0,0
月見夜ラビット,EXHAUST,15,EXCESSIVE COMPLETE,S,9978381,0,1,1,0,0
トリコロール・ダイアリー,EXHAUST,16,EXCESSIVE COMPLETE,S,9990458,0,4,4,0,0
ナイフ,EXHAUST,15,EXCESSIVE COMPLETE,S,9985656,0,3,3,0,0
Never Regret Anything,EXHAUST,16,EXCESSIVE COMPLETE,S,9986807,0,3,3,0,0
Hyper☆Chipspace,EXHAUST,16,ULTIMATE CHAIN,S,9991186,0,16,16,1,0
Violet Soul,EXHAUST,16,EXCESSIVE COMPLETE,S,9943217,0,2,2,0,0
飛花落葉,EXHAUST,14,PERFECT,S,10000000,0,2,2,0,1
Pieces,EXHAUST,12,PERFECT,S,10000000,0,1,1,0,1
FIRE FIRE(Kazmasa Remix),EXHAUST,17,ULTIMATE CHAIN,S,9978239,0,22,20,1,0
Find the Answer,EXHAUST,12,PERFECT,S,10000000,0,1,1,0,1
Belly Flopper,EXHAUST,15,ULTIMATE CHAIN,S,9996919,0,8,8,3,0
星屑ユートピア,EXHAUST,12,EXCESSIVE COMPLETE,S,9970743,0,1,1,0,0
ぼくらしかしらない,EXHAUST,17,EXCESSIVE COMPLETE,S,9979988,0,21,20,0,0
物凄い狂っとるフランちゃんが物凄いうた,EXHAUST,17,ULTIMATE CHAIN,S,9988925,5510,46,45,1,0
Rubeus,EXHAUST,17,PERFECT,S,10000000,0,25,25,3,1
Our Faith (Faithful MTL Remix),EXHAUST,17,ULTIMATE CHAIN,S,9988393,0,33,31,1,0
The Sampling Paradise (N-Driver Style),EXHAUST,16,ULTIMATE CHAIN,S,9990421,0,7,7,1,0
Virtual Sunrise (xac remix),EXHAUST,15,EXCESSIVE COMPLETE,S,9958847,0,1,1,0,0
Pure Evil-Aya2g Drm'n Tech Rmx-,EXHAUST,17,EXCESSIVE COMPLETE,S,9970553,0,21,19,0,0
VILE CAT,EXHAUST,18,EXCESSIVE COMPLETE,S,9936959,0,30,28,0,0
shiny rainbow flower,EXHAUST,15,EXCESSIVE COMPLETE,S,9988335,0,2,1,0,0
断片Story,EXHAUST,16,PERFECT,S,10000000,0,22,22,1,3
further the future,EXHAUST,15,EXCESSIVE COMPLETE,S,9992144,0,2,2,0,0
Attack on Dwarf,EXHAUST,14,EXCESSIVE COMPLETE,S,9917647,0,12,12,0,0
werewolf howls.,EXHAUST,18,ULTIMATE CHAIN,S,9987518,0,46,42,1,0
Pristine Bigband,EXHAUST,15,EXCESSIVE COMPLETE,S,9965462,0,1,1,0,0
Mist Tek,EXHAUST,16,PERFECT,S,10000000,5208,25,24,5,1
Little princess has no identity.,EXHAUST,17,PERFECT,S,10000000,6010,29,29,1,1
キミヱゴサーチ,EXHAUST,11,PERFECT,S,10000000,0,1,1,0,1
キミヱゴサーチ,INFINITE,16,EXCESSIVE COMPLETE,S,9967438,0,3,3,0,0
しんでしまうとはなさけない！,EXHAUST,15,PERFECT,S,10000000,0,5,5,0,1
ハウトゥー世界征服,EXHAUST,14,PERFECT,S,10000000,0,5,5,3,2
打打打打打打打打打打,ADVANCED,11,COMPLETE,AA+,9685273,0,1,1,0,0
打打打打打打打打打打,EXHAUST,15,EXCESSIVE COMPLETE,S,9984591,0,4,4,0,0
打打打打打打打打打打,INFINITE,17,EXCESSIVE COMPLETE,S,9971574,0,25,24,0,0
Appliqué,EXHAUST,16,ULTIMATE CHAIN,S,9990054,0,6,5,1,0
Appliqué,GRAVITY,17,ULTIMATE CHAIN,S,9991938,0,6,6,1,0
Wish upon Twin Stars,EXHAUST,17,ULTIMATE CHAIN,S,9990054,6203,33,31,3,0
Wish upon Twin Stars,GRAVITY,18,ULTIMATE CHAIN,S,9958254,0,7,6,1,0
Growth Memories,EXHAUST,18,EXCESSIVE COMPLETE,S,9962488,0,48,36,0,0
Growth Memories,GRAVITY,19,EXCESSIVE COMPLETE,S,9957537,7272,26,25,0,0
CODE -CRiMSON-,EXHAUST,17,ULTIMATE CHAIN,S,9980778,0,47,46,1,0
CODE -CRiMSON-,GRAVITY,18,EXCESSIVE COMPLETE,S,9955379,0,7,7,0,0
はわわｗ！な展開っ！,EXHAUST,15,EXCESSIVE COMPLETE,S,9981583,0,9,7,0,0
有頂天ビバーチェ,EXHAUST,16,ULTIMATE CHAIN,S,9984962,0,11,9,1,0
白い雪のプリンセスは,EXHAUST,15,ULTIMATE CHAIN,S,9985422,0,5,5,1,0
僕は空気が嫁ない,ADVANCED,10,COMPLETE,A+,9175662,0,1,1,0,0
僕は空気が嫁ない,EXHAUST,15,PERFECT,S,10000000,0,17,16,7,1
朱と碧のランページ,EXHAUST,17,ULTIMATE CHAIN,S,9994502,0,16,16,2,0
gigadelic -stance xxxx-,EXHAUST,17,ULTIMATE CHAIN,S,9983476,0,24,18,1,0
コミカルなミシャグジとラジエーション(PUNK IT ver.),EXHAUST,15,EXCESSIVE COMPLETE,S,9936042,0,1,1,0,0
最果てのコトバ,EXHAUST,12,COMPLETE,AAA,9792412,0,1,1,0,0
FIRE FIRE -DARK BLAZE REMIX-,EXHAUST,17,EXCESSIVE COMPLETE,S,9971148,0,32,28,0,0
Monkey Business (lapix Remix),EXHAUST,16,ULTIMATE CHAIN,S,9995755,0,36,34,12,0
Wuv U -More2 HAPPY Re-Mix Special-,EXHAUST,15,PERFECT,S,10000000,0,6,6,1,1
INSECTICIDE,EXHAUST,18,EXCESSIVE COMPLETE,S,9956320,0,49,44,0,0
INSECTICIDE,HEAVENLY,19,EXCESSIVE COMPLETE,S,9955752,7404,28,27,0,0
御千手メディテーション,EXHAUST,15,ULTIMATE CHAIN,S,9965493,0,1,1,1,0
御千手メディテーション,INFINITE,17,ULTIMATE CHAIN,S,9978070,0,10,10,1,0
KHAMEN BREAK,EXHAUST,16,EXCESSIVE COMPLETE,S,9981607,0,14,14,0,0
KHAMEN BREAK,INFINITE,16,EXCESSIVE COMPLETE,S,9981447,0,14,13,0,0
Cleopatrysm,EXHAUST,15,EXCESSIVE COMPLETE,S,9934119,0,3,3,0,0
Cleopatrysm,INFINITE,16,ULTIMATE CHAIN,S,9986789,0,11,11,1,0
悪性ロリィタマキャヴェリズム,EXHAUST,17,ULTIMATE CHAIN,S,9986945,0,22,22,8,0
Wave of Craze,EXHAUST,15,PERFECT,S,10000000,0,7,7,1,1
キリトリセン,EXHAUST,13,PERFECT,S,10000000,0,7,7,1,1
幻想浄瑠璃-Aya2g Tech Dance Remix-,EXHAUST,15,EXCESSIVE COMPLETE,S,9980590,0,4,3,0,0
ぼくらのタイムカプセル,EXHAUST,15,PERFECT,S,10000000,0,14,14,5,1
柳の下のデュラハン hard chaos mix,EXHAUST,17,ULTIMATE CHAIN,S,9995076,0,22,21,1,0
リズの内心革命,EXHAUST,13,EXCESSIVE COMPLETE,AAA,9797864,0,1,1,0,0
リズの内心革命,INFINITE,16,EXCESSIVE COMPLETE,S,9942739,0,2,2,0,0
wander+wonder+wand,EXHAUST,15,PERFECT,S,10000000,0,6,6,1,1
ミライプリズム,EXHAUST,11,PERFECT,S,10000000,0,1,1,0,1
ミライプリズム,INFINITE,15,PERFECT,S,10000000,0,12,12,0,1
Idola,EXHAUST,17,ULTIMATE CHAIN,S,9986027,0,45,42,2,0
Idola,HEAVENLY,18,EXCESSIVE COMPLETE,S,9966580,0,7,7,0,0
憂恋☆アクティベーション,EXHAUST,16,EXCESSIVE COMPLETE,S,9923747,0,2,2,0,0
幻想系世界修復少女,EXHAUST,15,PERFECT,S,10000000,0,3,3,0,1
バンブーソード・ガール,EXHAUST,17,ULTIMATE CHAIN,S,9977623,0,41,35,2,0
バンブーソード・ガール,HEAVENLY,19,EXCESSIVE COMPLETE,S,9922054,0,12,12,0,0
Baby Sherry,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9889143,0,3,1,0,0
Get out of my sight,EXHAUST,15,ULTIMATE CHAIN,S,9981644,0,2,2,1,0
SPARKING 2012,EXHAUST,15,EXCESSIVE COMPLETE,S,9963186,0,1,1,0,0
ゼンマイ恋時計（T.E.B Summer Mix),EXHAUST,15,PERFECT,S,10000000,0,4,4,1,1
#FairyJoke #SDVX_Edit,EXHAUST,17,EXCESSIVE COMPLETE,S,9924547,4694,82,73,0,0
Lemures Prelude,EXHAUST,14,EXCESSIVE COMPLETE,AA+,9689028,0,2,2,0,0
Sakura Mirage,EXHAUST,17,ULTIMATE CHAIN,S,9996835,5709,58,57,2,0
カレクレンマ,EXHAUST,15,PERFECT,S,10000000,0,3,3,0,1
患部で止まってすぐ溶ける ～ 狂気の優曇華院,EXHAUST,15,ULTIMATE CHAIN,S,9990506,0,5,1,1,0
患部で止まってすぐ溶ける ～ 狂気の優曇華院,INFINITE,17,EXCESSIVE COMPLETE,S,9953869,0,15,15,0,0
SPARKLING FANTASY,EXHAUST,13,PERFECT,S,10000000,0,2,2,0,2
ってゐ！ ～えいえんてゐVer～,EXHAUST,12,EXCESSIVE COMPLETE,S,9978184,0,3,1,0,0
ってゐ！ ～えいえんてゐVer～,INFINITE,15,EXCESSIVE COMPLETE,S,9972842,0,1,1,0,0
Mami Mami Zone,EXHAUST,16,PERFECT,S,10000000,0,6,6,1,1
mon$tage,EXHAUST,16,EXCESSIVE COMPLETE,S,9905913,0,2,2,0,0
信仰は儚き人間の為に ～ Arr.Demetori,EXHAUST,17,ULTIMATE CHAIN,S,9992570,0,22,21,1,0
竹取飛翔,EXHAUST,15,PERFECT,S,10000000,0,6,6,1,1
NEXT BILLIONAIRE,EXHAUST,15,EXCESSIVE COMPLETE,S,9934354,0,2,2,0,0
Phantasm Brigade,EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9835742,0,1,1,0,0
夕立、君と隠れ処,EXHAUST,13,COMPLETE,AA+,9690805,0,1,1,0,0
Unlimited Field,EXHAUST,15,ULTIMATE CHAIN,S,9988116,0,2,2,2,0
終点,EXHAUST,16,ULTIMATE CHAIN,S,9984076,0,8,7,1,0
少女暴動,EXHAUST,17,ULTIMATE CHAIN,S,9997160,0,27,23,2,0
冬に桜が咲くようなキセキ。,EXHAUST,15,ULTIMATE CHAIN,S,9993174,0,9,9,2,0
WAVE WAVE WAVE,EXHAUST,13,PLAYED,S,9968268,0,1,0,0,0
KiLLeR MeRMaiD,EXHAUST,17,ULTIMATE CHAIN,S,9988687,0,28,24,1,0
Frantic Wolf,EXHAUST,14,ULTIMATE CHAIN,S,9993150,0,6,6,3,0
Mist In Hell,ADVANCED,11,EXCESSIVE COMPLETE,AAA,9733096,0,1,1,0,0
Mist In Hell,EXHAUST,17,PERFECT,S,10000000,0,28,25,4,1
REVERSE LIMITED!(SDVX Edit),EXHAUST,16,ULTIMATE CHAIN,S,9997154,0,2,2,1,0
Innocent Tempest,EXHAUST,17,ULTIMATE CHAIN,S,9995586,0,42,36,3,0
Innocent Tempest,VIVID,19,EXCESSIVE COMPLETE,AAA+,9868804,0,6,6,0,0
侵蝕コード：666　-今日ちょっと指（略-,EXHAUST,15,ULTIMATE CHAIN,S,9983429,0,3,3,1,0
ボルテ体操第一,EXHAUST,17,ULTIMATE CHAIN,S,9982782,0,23,20,4,0
流れ星と君の歌,EXHAUST,14,PERFECT,S,10000000,0,3,3,0,1
Liar World Monologue,EXHAUST,16,EXCESSIVE COMPLETE,S,9975000,0,4,4,0,0
odds and ends,EXHAUST,15,PERFECT,S,10000000,0,19,19,9,1
odds and ends,GRAVITY,17,PERFECT,S,10000000,0,13,13,4,1
はなむけ,EXHAUST,13,PERFECT,S,10000000,0,2,2,1,1
Harpuia,EXHAUST,17,EXCESSIVE COMPLETE,S,9947275,0,55,40,0,0
Virtual Sunrise,EXHAUST,15,PERFECT,S,10000000,0,10,10,2,1
Pure Evil,EXHAUST,17,EXCESSIVE COMPLETE,S,9978179,0,31,27,0,0
Black Emperor,EXHAUST,18,EXCESSIVE COMPLETE,S,9905419,0,64,54,0,0
Black Emperor,GRAVITY,19,EXCESSIVE COMPLETE,AAA+,9851729,0,5,5,0,0
Hoshizora Illumination,EXHAUST,16,PERFECT,S,10000000,0,21,21,2,2
Hoshizora Illumination,HEAVENLY,17,EXCESSIVE COMPLETE,S,9975446,0,3,3,0,0
Arcadia,EXHAUST,12,PERFECT,S,10000000,0,1,1,0,1
群青硝子のスピカ,EXHAUST,15,EXCESSIVE COMPLETE,S,9943379,0,2,2,0,0
超爽快☆パッショネイト・フィーバー,EXHAUST,16,ULTIMATE CHAIN,S,9970760,0,3,3,1,0
FLYING OUT TO THE SKY,EXHAUST,17,PERFECT,S,10000000,0,39,33,0,1
神となり彼が見た境界線,EXHAUST,15,EXCESSIVE COMPLETE,S,9920972,0,2,2,0,0
crazy cinema story,EXHAUST,16,EXCESSIVE COMPLETE,S,9935158,0,6,4,0,0
Fiat Lux,EXHAUST,17,ULTIMATE CHAIN,S,9975728,0,34,31,1,0
茅蜩モラトリアム,EXHAUST,16,EXCESSIVE COMPLETE,S,9981392,0,5,5,0,0
命のユースティティア,EXHAUST,13,ULTIMATE CHAIN,S,9995678,0,5,5,3,0
WAVE,EXHAUST,15,EXCESSIVE COMPLETE,S,9963054,0,2,2,0,0
コンベア速度Max!? しゃいにん☆廻転ズシ"Sushi&Peace",EXHAUST,16,ULTIMATE CHAIN,S,9955286,0,23,21,2,0
snow motion,EXHAUST,13,ULTIMATE CHAIN,S,9996078,0,6,6,1,0
IX,EXHAUST,17,EXCESSIVE COMPLETE,S,9977767,0,34,29,0,0
IX,VIVID,19,EXCESSIVE COMPLETE,S,9963675,8311,7,7,0,0
Future MUSiC,EXHAUST,12,PERFECT,S,10000000,0,2,2,0,1
ウバワレ,EXHAUST,16,PERFECT,S,10000000,0,9,7,0,1
ウバワレ,GRAVITY,17,ULTIMATE CHAIN,S,9991299,0,5,5,1,0
EOS -INFINITE EDIT-,EXHAUST,13,PERFECT,S,10000000,0,9,8,3,3
EOS -INFINITE EDIT-,GRAVITY,16,ULTIMATE CHAIN,S,9996882,0,3,3,1,0
Engraved Mark,EXHAUST,16,ULTIMATE CHAIN,S,9982244,0,8,7,1,0
Squeeze,EXHAUST,16,EXCESSIVE COMPLETE,S,9915143,0,1,1,0,0
デッドボヲルdeホームラン,EXHAUST,15,EXCESSIVE COMPLETE,S,9974182,0,5,2,0,0
轟け！恋のビーンボール！！,EXHAUST,17,PERFECT,S,10000000,0,28,28,1,1
Verse IV,EXHAUST,17,EXCESSIVE COMPLETE,S,9957196,0,58,49,0,0
Verse IV,HEAVENLY,19,EXCESSIVE COMPLETE,S,9939120,0,4,3,0,0
LittleGameStar,EXHAUST,15,PERFECT,S,10000000,0,5,5,1,1
LittleGameStar,GRAVITY,17,EXCESSIVE COMPLETE,S,9963702,0,5,5,0,0
イゴモヨス＝オムルのテーマによるブヨブヨ・スケッチの試み,EXHAUST,17,ULTIMATE CHAIN,S,9994382,0,15,12,4,0
will o' the wisp,EXHAUST,13,EXCESSIVE COMPLETE,S,9939759,0,1,1,0,0
Profession,EXHAUST,16,EXCESSIVE COMPLETE,S,9959919,0,10,9,0,0
雪女,EXHAUST,16,ULTIMATE CHAIN,S,9996801,0,16,13,4,0
雪女,GRAVITY,17,ULTIMATE CHAIN,S,9981051,0,12,11,1,0
おお われら喜び讃うべし、主よ,EXHAUST,16,EXCESSIVE COMPLETE,S,9970076,0,4,4,0,0
上海紅茶館 ～ Chinese Tea Orchid Remix,EXHAUST,16,ULTIMATE CHAIN,S,9996851,0,21,18,5,0
上海紅茶館 ～ Chinese Tea Orchid Remix,VIVID,18,EXCESSIVE COMPLETE,S,9916974,6350,1,1,0,0
U.N.オーエンは彼女なのか？haru_naba Remix,EXHAUST,17,EXCESSIVE COMPLETE,S,9962962,0,32,22,0,0
